minimum_time,minimum_time_error,mt,www,labels,Units
31215.386,0.029035046,0,,vis,HJD
31216.34,0.049489286,1,30,vis,BJD
31219.26,,1,,vis,BJD
31221.33,0.038748918,0,,vis,BJD
31225.4,0.011400055,0,,vis,BJD
31241.33,0.041124657,0,,vis,BJD
31244.31,0.045103637,0,,vis,BJD
31247.28,,0,,vis,BJD
31248.38,,0,,vis,BJD
31257.31,,0,,vis,BJD
31269.32,0.000217792,1,,vis,BJD
31272.29,0.008028265,1,,vis,BJD
31274.3,0.041161859,0,,vis,BJD
31275.25,0.006279866,1,,vis,BJD
35270.6229,0.020332969,0,,pe,BJD
35277.4813,0.023553095,1,,pe,BJD
35622.4575,0.012677315,1,,pe,BJD
35622.4578,0.025535021,1,,pe,BJD
35624.4957,0.005470542,0,,pe,BJD
35627.4587,0.011859762,0,,pe,BJD
35627.4596,,0,,pe,BJD
39950.8121,,1,,pe,BJD
39951.9243,0.017221622,1,,pe,BJD
39953.7763,0.028241038,1,,pe,BJD
39953.9626,0.023153595,0,,pe,BJD
40298.947,0.006232512,0,,pe,BJD
40389.7319,0.011566805,0,,pe,BJD
42183.4,0.008799273,1,,CCD,BJD
42569.7091,0.021210633,0,,pe,BJD
42577.6745,0.029056446,1,,pe,BJD
42582.6769,0.016007536,0,,pe,BJD
45131.3793,0.021333574,0,,pe,BJD
45132.3056,0.014032322,1,,pe,BJD
46903.4115,0.003321458,0,,CCD,BJD
47288.4252,0.005318243,0,,CCD,BJD
48132.2036,0.009898597,0,,CCD,BJD
48132.3941,0.007429805,1,,CCD,BJD
48334.3319,,1,,CCD,BJD
48334.332,,1,,CCD,BJD
48335.2623,,0,,CCD,BJD
48335.2624,0.002020561,1,,CCD,BJD
48336.37,0.007388325,1,,CCD,BJD
48336.3704,0.007328703,0,,CCD,BJD
48363.236,0.000580166,1,,CCD,BJD
48363.2365,0.007232521,1,,CCD,BJD
48364.1655,0.001360505,0,,CCD,BJD
48364.166,0.003979416,0,,CCD,BJD
48500.173,0.00082424,0,,CCD,BJD
48774.3912,0.00600933,0,,CCD,BJD
48774.5807,0.007139893,1,,CCD,BJD
49130.5078,0.006007473,0,,CCD,BJD
49130.5078,0.002489872,0,,CCD,BJD
49154.4059,0.001429036,1,,CCD,BJD
49154.4091,0.00806022,1,,CCD,BJD
49166.4481,0.007913158,0,,CCD,BJD
49166.4499,0.00123033,0,,CCD,BJD
49504.4082,0.004758915,0,,CCD,HJD
49504.4096,0.008925989,0,,CCD,BJD
49511.4497,0.003135948,0,,CCD,BJD
49844.3996,0.007862895,1,,CCD,BJD
49859.4101,0.001988642,0,,CCD,BJD
50547.3679,0.000442146,1,,CCD,HJD
50547.5532,0.005300914,0,,CCD,BJD
50942.3992,0.005899548,1,,CCD,BJD
51273.872,0.008253936,0,,CCD,BJD
51671.4932,0.002764975,0,,CCD,BJD
52044.4808,0.000523678,1,,CCD,HJD
52046.5184,0.007802164,0,,CCD,BJD
52049.4798,0.005420119,0,,CCD,BJD
52050.4093,0.007553967,1,,CCD,BJD
52051.522,0.009529851,1,,CCD,HJD
52055.4094,0.006171389,0,,CCD,BJD
52285.539,0.008270005,0,,CCD,BJD
52296.6559,0.007117123,0,,CCD,HJD
52395.4142,0.001567246,1,,CCD,BJD
52417.4621,0.001687942,0,,CCD,BJD
52653.155,0.000380456,0,,CCD,BJD
52684.8363,0.007105559,1,,CCD,BJD
52685.574,0.009267862,1,,CCD,BJD
52688.5384,,1,,CCD,BJD
52717.4421,,1,,CCD,BJD
52717.4439,,1,,CCD,BJD
52720.593,,0,,CCD,BJD
52723.3732,,1,,CCD,BJD
52747.0994,0.005880294,1,,CCD,BJD
52750.7945,0.006218108,1,,CCD,BJD
52753.5771,0.00222203,0,,CCD,BJD
52753.7581,0.007712971,1,,CCD,BJD
52753.9478,0.003284504,0,,CCD,HJD
52754.1308,0.004892866,1,,CCD,BJD
52774.6988,8.29863E-05,0,,CCD,BJD
52774.8863,0.009766533,1,,CCD,BJD
52777.4767,0.002759479,1,,CCD,BJD
53068.1935,0.003767227,0,,CCD,HJD
53105.2519,0.002821098,0,,CCD,BJD
53106.5478,0.008523675,1,,CCD,BJD
53117.4774,0.001993753,0,,CCD,BJD
53431.5451,0.007937709,1,,CCD,BJD
53431.5456,0.005085487,1,,CCD,BJD
