Mintimes,Mintypes,Errors,Ecorr,O-C,Data Group,Units,RA
2431216.326000,0,0.001, IODE 4.1.138 ,,Vis,BJD,
2435270.622900,0,0.001,"JO 43 161, 1960",,pe,BJD,
2435277.481300,1,0.001,"JO 43 161, 1960",,pe,BJD,
2435622.457800,1,0.001,IBVS 4640,,pe,BJD,
2435627.459600,0,0.001,IBVS 4640,,pe,BJD,
2435624.495700,0,0.001,"JO 43 161, 1960",,pe,BJD,
2439950.812100,0,0.001, AJ 76 923 1971 ,,pe,BJD,
2439951.924300,0,0.001, AJ 76 923 1971 ,,pe,BJD,
2439953.776300,0,0.001, AJ 76 923 1971 ,,pe,BJD,
2439953.962600,1,0.001, AJ 76 923 1971 ,,pe,BJD,
2440298.947000,1,0.001, AJ 76 923 1971 ,,pe,BJD,
2440389.731900,1,0.001, AJ 76 923 1971 ,,pe,BJD,
2442183.307357,1,0.001,IBVS 1053 ,,pe,BJD,
2442569.616457,0,0.001, AJ 82 648 1977 ,,pe,BJD,
2442577.581857,1,0.001, AJ 82 648 1977 ,,pe,BJD,
2442582.584257,0,0.001, AJ 82 648 1977 ,,pe,BJD,
2444691.478643,0,0.001, BBSAG 53 ,,pe,BJD,
2444716.297357,0,0.001, BBSAG 54 ,,pe,BJD,
2445131.379300,0,0.001, ASS 107.34,,pe,BJD,
2445132.305600,1,0.001, ASS 107.34,,pe,BJD,
2446903.411500,0,0.001, BBSAG 83,,pe,BJD,
2447288.425200,0,0.001, BBSAG 88,,pe,BJD,
2448132.203600,0,0.001,IBVS 4640 ,,pe,BJD,
2448132.394100,1,0.001,IBVS 4640 ,,pe,BJD,
2448334.331950,1,0.001,IBVS 3662,,pe,BJD,
2448335.262350,0,0.001,IBVS 3662,,pe,BJD,
2448336.370200,0,0.001,IBVS 3662,,pe,BJD,
2448363.236250,1,0.001,IBVS 3662,,pe,BJD,
2448364.165750,0,0.001,IBVS 3662,,pe,BJD,
2448500.173000,0,0.001,IBVS 4640 ,,pe,BJD,
2448774.391200,0,0.001,IBVS 4640 ,,pe,BJD,
2448774.580700,1,0.001,IBVS 4640 ,,pe,BJD,
2449130.507800,0,0.001,BAVM 62 ,,pe,BJD,
2449154.406723,1,0.001,BAVM 68 ,,pe,BJD,
2449166.449236,0,0.001,BAVM 68 ,,pe,BJD,
2449504.408373,0,0.001,BAVM 68 ,,pe,BJD,
2449511.449700,0,0.001, BBS 107 ,,pe,BJD,
2449844.399600,1,0.001, BBS 109 ,,pe,BJD,
2449859.410100,0,0.001,BAVM 90 =IBVS 4382,,pe,BJD,
2450547.367900,1,0.001,BAVM 117 ,,pe,BJD,
2450547.553200,0,0.001,BAVM 117 ,,pe,BJD,
2450942.399200,1,0.001,IBVS 4640 ,,ccd,BJD,
2451273.872000,0,0.001,Astronom. Cirkular,,ccd,BJD,
2451671.493200,0,0.001,BAVM 152 ,,pe,BJD,
2452044.480800,1,0.001,IBVS 5623 ,,pe,BJD,
2452046.518400,0,0.001,IBVS 5623 ,,pe,BJD,
2452049.479800,0,0.001, BBS 125 ,,ccd,BJD,
2452050.409300,1,0.001,BAVM 152 ,,pe,BJD,
2452051.522000,1,0.001, BBS 125 ,,ccd,BJD,
